Date,Amount,Target,Balance
09/12/2022,"-1.33","STEAMGAMES.COM 4259522 Hamburg DE DEU Card xx5767 AUD 1.33 Value Date: 06/12/2022","+13037.06"
09/12/2022,"-44.41","VIVA LEISURE MITCHELL AUS Card xx5767 Value Date: 08/12/2022","+13038.39"
07/12/2022,"-15.15","Transfer To Joe CommBank App lunch","+13082.80"
07/12/2022,"-7.49","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 03/12/2022","+13097.95"
07/12/2022,"-30.00","TELSTRA PREPAID MELBOURNE AUS Card xx5767 Value Date: 06/12/2022","+13105.44"
06/12/2022,"-389.00","Transfer To K AHMED PayID Phone from CommBank App Computer 3","+13135.44"
06/12/2022,"-500.00","Transfer To K AHMED PayID Phone from CommBank App Computer2","+13524.44"
06/12/2022,"-500.00","Transfer To K AHMED PayID Phone from CommBank App Computer1","+14024.44"
06/12/2022,"-16.87","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 02/12/2022","+14524.44"
06/12/2022,"-4.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 02/12/2022","+14541.31"
06/12/2022,"-40.17","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 04/12/2022","+14546.30"
06/12/2022,"-28.00","BIG W 0122 CANBERRA AU AUS Card xx5767 Value Date: 04/12/2022","+14586.47"
04/12/2022,"-47.55","CHEMIST ON NORTHBOUR CANBERRA AU Card xx5767","+14614.47"
02/12/2022,"-2.19","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 30/11/2022","+14662.02"
02/12/2022,"-8.50","SMP*Guild House Canberra AU AUS Card xx5767 Value Date: 30/11/2022","+14664.21"
01/12/2022,"-30.10","COLES 0779 BELCONNEN AU AUS Card xx5767 Value Date: 29/11/2022","+14672.71"
01/12/2022,"-40.90","Revolution CD Belconn Belconnen AC AUS Card xx5767 Value Date: 29/11/2022","+14702.81"
01/12/2022,"-4.47","SMP*TFC Sushi San Belconnen AU AUS Card xx5767 Value Date: 29/11/2022","+14743.71"
30/11/2022,"-2.89","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 27/11/2022","+14748.18"
29/11/2022,"+6.00","Fast Transfer From JIAHE QIAN ___","+14751.07"
29/11/2022,"-12.00","BIG W 0122 CANBERRA AU AUS Card xx5767 Value Date: 25/11/2022","+14745.07"
29/11/2022,"-89.95","Nintendo CA866944130 Scoresby AU AUS Card xx5767 Value Date: 26/11/2022","+14757.07"
29/11/2022,"-5.99","VIA DOLCE CANBERRA AU AUS Card xx5767 Value Date: 25/11/2022","+14847.02"
27/11/2022,"-3.80","DAILY MARKET CANBERRA AU Card xx5767","+14853.01"
26/11/2022,"-22.25","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 24/11/2022","+14856.81"
26/11/2022,"-54.99","TheGamesCapital Canberra AC AUS Card xx5767 Value Date: 23/11/2022","+14879.06"
26/11/2022,"-23.98","H&M Canberra AU0028 Canberra AC AUS Card xx5767 Value Date: 23/11/2022","+14934.05"
25/11/2022,"+32.50","Fast Transfer From ZEXUAN LIU Dinner today","+14958.03"
25/11/2022,"-10.30","RICE&NORI CANBERRA AU","+14925.53"
25/11/2022,"-47.00","BIG W 0122 CANBERRA AU AUS Card xx5767 Value Date: 23/11/2022","+14935.83"
25/11/2022,"-3.75","BIG W 0122 CANBERRA AU AUS Card xx5767 Value Date: 23/11/2022","+14982.83"
25/11/2022,"-17.09","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 23/11/2022","+14986.58"
25/11/2022,"-100.00","STEAM PURCHASE SEATTLE DE DEU Card xx5767 AUD 100.00 Value Date: 21/11/2022","+15003.67"
25/11/2022,"-44.41","VIVA LEISURE MITCHELL AUS Card xx5767 Value Date: 24/11/2022","+15103.67"
24/11/2022,"+32.50","Fast Transfer From MR XIAOJU MA CREDIT TO ACCOUNT","+15148.08"
24/11/2022,"+32.50","Fast Transfer From JIXUAN LI Dinner","+15115.58"
24/11/2022,"+32.50","Fast Transfer From TINGTING LU Dinner Ting","+15083.08"
24/11/2022,"-194.60","HAPPY PANDA AUSTRALIA CANBERRA AU","+15050.58"
24/11/2022,"-220.00","Transfer To Driving coach CommBank App Driving","+15245.18"
24/11/2022,"-2.89","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 22/11/2022","+15465.18"
24/11/2022,"-31.44","STEAMGAMES.COM 4259522 Hamburg DE DEU Card xx5767 AUD 31.44 Value Date: 21/11/2022","+15468.07"
23/11/2022,"+146.67","Salary ANU 7241110","+15499.51"
19/11/2022,"-10.30","SUPERMART CANBERRA AUS Card xx5767 Value Date: 16/11/2022","+15352.84"
18/11/2022,"-8.85","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 16/11/2022","+15363.14"
18/11/2022,"-19.02","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 16/11/2022","+15371.99"
18/11/2022,"-43.10","GETQPAY.COM FIVE DOCK NS AUS Card xx5767 Value Date: 16/11/2022","+15391.01"
17/11/2022,"-39.99","STEAM PURCHASE SEATTLE DE DEU Card xx5767 AUD 39.99 Value Date: 13/11/2022","+15434.11"
17/11/2022,"-74.16","STEAM PURCHASE SEATTLE DE DEU Card xx5767 AUD 74.16 Value Date: 13/11/2022","+15474.10"
16/11/2022,"-14.95","CHEMIST ON NORTHBOUR CANBERRA AU Card xx5767","+15548.26"
16/11/2022,"-13.48","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 13/11/2022","+15563.21"
16/11/2022,"-2.75","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 12/11/2022","+15576.69"
16/11/2022,"-3.49","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 12/11/2022","+15579.44"
16/11/2022,"-16.99","Netflix.com Melbourne VI AUS Card xx5767 Value Date: 15/11/2022","+15582.93"
15/11/2022,"-6.00","Coffee Lab ANU ACTON AC AUS Card xx5767 Value Date: 11/11/2022","+15599.92"
15/11/2022,"-5.00","Coffee Lab ANU ACTON AC AUS Card xx5767 Value Date: 11/11/2022","+15605.92"
15/11/2022,"-0.37","International Transaction Fee Value Date: 11/11/2022","+15610.92"
15/11/2022,"-12.45","Hong Kong NetEase Inte Hong Kong HK HKG Card xx5767 USD 7.99 Value Date: 11/11/2022","+15611.29"
15/11/2022,"-11.52","OFFICEWORKS 0262 BRADDON AU AUS Card xx5767 Value Date: 13/11/2022","+15623.74"
15/11/2022,"-23.14","Lanzhou Beef Noodle Ca Canberra AC AUS Card xx5767 Value Date: 12/11/2022","+15635.26"
12/11/2022,"-34.99","CONNOR CLOTHING PTY LT CANBERRA AU","+15658.40"
12/11/2022,"-3.50","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 10/11/2022","+15693.39"
12/11/2022,"-11.00","Coffee Lab ANU ACTON AC AUS Card xx5767 Value Date: 10/11/2022","+15696.89"
12/11/2022,"-3.00","Nintendo CA855105921 Scoresby AU AUS Card xx5767 Value Date: 10/11/2022","+15707.89"
11/11/2022,"-14.47","STEAMGAMES.COM 4259522 Hamburg DE DEU Card xx5767 AUD 14.47 Value Date: 08/11/2022","+15710.89"
11/11/2022,"-44.41","VIVA LEISURE MITCHELL AUS Card xx5767 Value Date: 10/11/2022","+15725.36"
10/11/2022,"-30.00","TELSTRA PREPAID MELBOURNE VI AUS Card xx5767 Value Date: 08/11/2022","+15769.77"
09/11/2022,"+342.24","Salary ANU 7241110","+15799.77"
09/11/2022,"-6.96","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 07/11/2022","+15457.53"
09/11/2022,"-22.97","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 07/11/2022","+15464.49"
09/11/2022,"-3.50","CocaColaEPP Acton AUS Card xx5767 Value Date: 05/11/2022","+15487.46"
08/11/2022,"-20.03","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 05/11/2022","+15490.96"
08/11/2022,"-4.50","Coffee Lab ANU ACTON AC AUS Card xx5767 Value Date: 05/11/2022","+15510.99"
04/11/2022,"-3.68","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 02/11/2022","+15515.49"
03/11/2022,"-41.86","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 01/11/2022","+15519.17"
03/11/2022,"-5.70","CantaloupeSystemsAustr Albion QL AUS Card xx5767 Value Date: 31/10/2022","+15561.03"
02/11/2022,"-12.79","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 30/10/2022","+15566.73"
01/11/2022,"-69.95","EB GAMES BELCONNEN ACTAU","+15579.52"
01/11/2022,"-15.87","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 28/10/2022","+15649.47"
01/11/2022,"-62.90","Revolution CD Belconn Belconnen AC AUS Card xx5767 Value Date: 28/10/2022","+15665.34"
01/11/2022,"-51.10","ACCESS CANB SHOPFRONT BELCONNEN AUS Card xx5767 Value Date: 28/10/2022","+15728.24"
01/11/2022,"-0.32","International Transaction Fee Value Date: 26/10/2022","+15779.34"
01/11/2022,"-10.55","DLSITE TOKYO JP JPN Card xx5767 JPY 990 Value Date: 26/10/2022","+15779.66"
29/10/2022,"-6.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 27/10/2022","+15790.21"
28/10/2022,"-219.98","TAROCASH PTY LTD 163 BELCONNEN AU","+15797.20"
28/10/2022,"-31.00","WORKWEAR OUTLET FYSHWICK AU","+16017.18"
28/10/2022,"-9.99","CLUB LIME ANU ACTON AC AUS Card xx5767 Value Date: 26/10/2022","+16048.18"
28/10/2022,"-44.41","VIVA LEISURE MITCHELL AUS Card xx5767 Value Date: 27/10/2022","+16058.17"
27/10/2022,"-7.50","DAILY MARKET CANBERRA AU Card xx5767","+16102.58"
27/10/2022,"-6.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 25/10/2022","+16110.08"
26/10/2022,"+366.69","Salary ANU 7241110","+16117.07"
26/10/2022,"-20.95","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 24/10/2022","+15750.38"
26/10/2022,"-4.80","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 24/10/2022","+15771.33"
26/10/2022,"-56.95","STEAM PURCHASE SEATTLE DE DEU Card xx5767 AUD 56.95 Value Date: 20/10/2022","+15776.13"
26/10/2022,"-5.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 23/10/2022","+15833.08"
25/10/2022,"-1.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 21/10/2022","+15839.07"
25/10/2022,"-59.57","HAPPY PANDA AUSTRALIA CANBERRA AUS Card xx5767 Value Date: 21/10/2022","+15841.06"
25/10/2022,"-9.75","UBER *TRIP Sydney AU AUS Card xx5767 Value Date: 22/10/2022","+15900.63"
25/10/2022,"-1.00","UBER *TRIP Sydney AU AUS Card xx5767 Value Date: 22/10/2022","+15910.38"
25/10/2022,"-9.49","UBER *TRIP Sydney AU AUS Card xx5767 Value Date: 22/10/2022","+15911.38"
22/10/2022,"+30.00","Fast Transfer From JIAHE QIAN Saw word new new","+15920.87"
22/10/2022,"-19.96","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 20/10/2022","+15890.87"
21/10/2022,"+9985.00","YIN HUA. REF 2022102100033887","+15910.83"
20/10/2022,"-20.95","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 18/10/2022","+5925.83"
20/10/2022,"-4.80","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 18/10/2022","+5946.78"
19/10/2022,"-15.79","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 15/10/2022","+5951.58"
19/10/2022,"-28.49","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 16/10/2022","+5967.37"
19/10/2022,"-33.50","SUSHI MUSA PHILLIP AC AUS Card xx5767 Value Date: 15/10/2022","+5995.86"
18/10/2022,"-16.99","Netflix.com Melbourne VI AUS Card xx5767 Value Date: 15/10/2022","+6029.36"
18/10/2022,"-6.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 14/10/2022","+6046.35"
18/10/2022,"-43.00","COLES 0848 PHILLIP AU AUS Card xx5767 Value Date: 15/10/2022","+6053.34"
17/10/2022,"-4.50","RAIMERAH PTY LTD ACTON AU","+6096.34"
16/10/2022,"-24.59","Transfer To Joe CommBank App Bill","+6100.84"
15/10/2022,"-9.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 13/10/2022","+6125.43"
15/10/2022,"-21.50","CAFE MILLIGRAM KAMBR ACTON AC AUS Card xx5767 Value Date: 13/10/2022","+6135.42"
14/10/2022,"-3.20","CantaloupeSystemsAustr Albion QL AUS Card xx5767 Value Date: 12/10/2022","+6156.92"
14/10/2022,"-22.89","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 12/10/2022","+6160.12"
14/10/2022,"-44.41","VIVA LEISURE MITCHELL AUS Card xx5767 Value Date: 13/10/2022","+6183.01"
13/10/2022,"-8.85","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 11/10/2022","+6227.42"
13/10/2022,"-19.02","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 11/10/2022","+6236.27"
13/10/2022,"-24.90","UNIVERSITY PHARMACY ACTON AC AUS Card xx5767 Value Date: 11/10/2022","+6255.29"
13/10/2022,"-30.00","TELSTRA PREPAID MELBOURNE VI AUS Card xx5767 Value Date: 11/10/2022","+6280.19"
12/10/2022,"+50.00","Fast Transfer From JIAHE QIAN Saw word new new","+6310.19"
12/10/2022,"-11.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 10/10/2022","+6260.19"
12/10/2022,"-12.25","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 09/10/2022","+6272.18"
12/10/2022,"-4.50","RAIMERAH PTY LTD ACTON AUS Card xx5767 Value Date: 10/10/2022","+6284.43"
11/10/2022,"-9.31","International Transaction Fee Value Date: 07/10/2022","+6288.93"
11/10/2022,"-310.42","PAUL DAVIDS GUITAR BURBANK CA USA Card xx5767 USD 199.00 Value Date: 07/10/2022","+6298.24"
11/10/2022,"-89.95","Nintendo CA838453276 Scoresby AU AUS Card xx5767 Value Date: 09/10/2022","+6608.66"
11/10/2022,"-3.20","CantaloupeSystemsAustr Albion QL AUS Card xx5767 Value Date: 08/10/2022","+6698.61"
11/10/2022,"-14.49","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 07/10/2022","+6701.81"
11/10/2022,"-30.00","Nintendo CA838453506 Scoresby AU AUS Card xx5767 Value Date: 09/10/2022","+6716.30"
08/10/2022,"-168.26","OFFICEWORKS 0262 BRADDON AU AUS Card xx5767 Value Date: 06/10/2022","+6746.30"
08/10/2022,"-0.27","International Transaction Fee Value Date: 03/10/2022","+6914.56"
08/10/2022,"-9.04","DLSITE TOKYO JP JPN Card xx5767 JPY 841 Value Date: 03/10/2022","+6914.83"
07/10/2022,"-1.70","EMART CANBERRA CANBERRA AU AUS Card xx5767 Value Date: 04/10/2022","+6923.87"
07/10/2022,"-10.79","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 05/10/2022","+6925.57"
06/10/2022,"-13.02","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 04/10/2022","+6936.36"
06/10/2022,"-14.23","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 04/10/2022","+6949.38"
05/10/2022,"-3.20","CantaloupeSystemsAustr Albion QL AUS Card xx5767 Value Date: 03/10/2022","+6963.61"
04/10/2022,"-17.80","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 01/10/2022","+6966.81"
04/10/2022,"-1.93","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 01/10/2022","+6984.61"
04/10/2022,"-11.60","EMART CANBERRA CANBERRA AU AUS Card xx5767 Value Date: 01/10/2022","+6986.54"
01/10/2022,"-10.59","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 29/09/2022","+6998.14"
30/09/2022,"-44.41","VIVA LEISURE MITCHELL AUS Card xx5767 Value Date: 29/09/2022","+7008.73"
29/09/2022,"-14.95","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 27/09/2022","+7053.14"
29/09/2022,"-12.99","DISCORD* NITROMONTHLY SAN FRANCISCO CA USA Card xx5767 AUD 12.99 Value Date: 27/09/2022","+7068.09"
28/09/2022,"-3.80","Rex Espresso Acton AU","+7081.08"
28/09/2022,"-1.99","THIRSTY CAMEL DAILY ACTON AU","+7084.88"
28/09/2022,"-1.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 26/09/2022","+7086.87"
28/09/2022,"-17.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 25/09/2022","+7088.86"
28/09/2022,"-194.25","PINNACLEDRIVINGSCHOOL. MURRUMABATEMA NS AUS Card xx5767 Value Date: 26/09/2022","+7106.85"
28/09/2022,"-15.50","CAFE MILLIGRAM KAMBR ACTON AC AUS Card xx5767 Value Date: 26/09/2022","+7301.10"
27/09/2022,"-17.80","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 23/09/2022","+7316.60"
26/09/2022,"-4.50","RAIMERAH PTY LTD ACTON AU","+7334.40"
24/09/2022,"-33.94","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 21/09/2022","+7338.90"
24/09/2022,"-5.98","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 21/09/2022","+7372.84"
24/09/2022,"-79.00","OFFICEWORKS 0262 BRADDON AU AUS Card xx5767 Value Date: 21/09/2022","+7378.82"
24/09/2022,"-62.95","STEAM PURCHASE SEATTLE DE DEU Card xx5767 AUD 62.95 Value Date: 20/09/2022","+7457.82"
22/09/2022,"-1.95","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 20/09/2022","+7520.77"
22/09/2022,"-0.21","International Transaction Fee Value Date: 17/09/2022","+7522.72"
22/09/2022,"-6.84","DLSITE TOKYO JP JPN Card xx5767 JPY 654 Value Date: 17/09/2022","+7522.93"
22/09/2022,"-10.48","SELENA STORE PTY LTD CARLTON AUS Card xx5767 Value Date: 19/09/2022","+7529.77"
21/09/2022,"-17.60","SKYHIGH MT DANDENONG MOUNT DANDENO VI AUS Card xx5767 Value Date: 18/09/2022","+7540.25"
21/09/2022,"-9.58","SELENA STORE PTY LTD CARLTON AUS Card xx5767 Value Date: 18/09/2022","+7557.85"
20/09/2022,"-3.50","RAIMERAH PTY LTD ACTON AU","+7567.43"
20/09/2022,"-0.09","International Transaction Fee Value Date: 13/09/2022","+7570.93"
20/09/2022,"-3.06","DLSITE TOKYO JP JPN Card xx5767 JPY 297 Value Date: 13/09/2022","+7571.02"
20/09/2022,"-7.98","BP TRARALGON 6950 TRARALGON EAS VI AUS Card xx5767 Value Date: 16/09/2022","+7574.08"
20/09/2022,"-0.24","International Transaction Fee Value Date: 14/09/2022","+7582.06"
20/09/2022,"-7.89","DLSITE TOKYO JP JPN Card xx5767 JPY 770 Value Date: 14/09/2022","+7582.30"
19/09/2022,"-122.94","AMPOL TARCUTTA TARCUTTA AU Card xx5767","+7590.19"
18/09/2022,"-19.00","RICH CAPITAL PTY LTD MELBOURNE AU Card xx5767","+7713.13"
